iter	Passed	Remaining
0	0	75
1	1	67
2	1	63
3	2	58
4	3	57
5	3	56
6	4	55
7	4	55
8	5	58
9	6	59
10	7	59
11	8	58
12	8	58
13	9	58
14	10	58
15	11	58
16	11	57
17	12	56
18	13	55
19	13	54
20	14	53
21	14	52
22	15	51
23	15	50
24	16	49
25	17	48
26	17	48
27	18	47
28	18	46
29	19	45
30	20	45
31	20	44
32	21	44
33	22	43
34	23	43
35	24	42
36	24	42
37	25	41
38	26	41
39	26	40
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	33
48	31	33
49	32	32
50	33	31
51	34	31
52	34	30
53	35	30
54	36	29
55	36	28
56	37	28
57	38	27
58	39	27
59	39	26
60	40	25
61	40	25
62	41	24
63	42	23
64	43	23
65	44	22
66	45	22
67	46	21
68	47	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	54	17
76	56	16
77	56	16
78	57	15
79	58	14
80	59	13
81	60	13
82	61	12
83	62	11
84	62	11
85	64	10
86	64	9
87	65	8
88	66	8
89	69	7
90	70	6
91	71	6
92	72	5
93	73	4
94	75	3
95	75	3
96	76	2
97	77	1
98	77	0
99	78	0
