iter	Passed	Remaining
0	134	133895
1	135	67526
2	135	45182
3	136	33999
4	137	27295
5	137	22822
6	138	19624
7	138	17227
8	139	15362
9	140	13870
10	140	12649
11	141	11631
12	141	10770
13	142	10033
14	143	9393
15	143	8834
16	144	8340
17	144	7899
18	145	7506
19	146	7161
20	147	6858
21	147	6567
22	148	6300
23	149	6062
24	150	5865
25	151	5657
26	151	5463
27	152	5283
28	152	5116
29	153	4960
30	154	4815
31	154	4677
32	155	4549
33	155	4428
34	156	4313
35	157	4205
36	157	4103
37	158	4006
38	158	3914
39	159	3826
40	160	3743
41	160	3666
42	161	3591
43	161	3519
44	162	3449
45	163	3383
46	163	3319
47	165	3280
48	166	3223
49	166	3168
50	167	3114
51	167	3062
52	168	3011
53	169	2963
54	169	2916
55	170	2871
56	170	2827
57	171	2785
58	172	2745
59	172	2705
60	173	2667
61	173	2630
62	174	2595
63	175	2562
64	175	2528
65	176	2496
66	176	2464
67	177	2433
68	178	2403
69	178	2374
70	180	2359
71	180	2331
72	181	2305
73	182	2279
74	182	2253
75	183	2229
76	183	2204
77	184	2180
78	185	2157
79	185	2135
80	186	2113
81	186	2092
82	187	2068
83	187	2048
84	188	2028
85	189	2008
86	189	1990
87	190	1971
88	190	1953
89	191	1935
90	192	1918
91	192	1901
92	193	1884
93	193	1868
94	195	1860
95	195	1845
96	196	1829
97	197	1814
98	197	1799
99	198	1784
100	198	1770
101	199	1755
102	200	1742
103	200	1728
104	201	1714
105	201	1701
106	202	1688
107	202	1675
108	203	1663
109	204	1651
110	204	1640
111	205	1628
112	205	1616
113	206	1604
114	207	1593
115	207	1582
116	208	1570
117	208	1560
118	209	1550
119	210	1544
120	211	1534
121	211	1524
122	212	1514
123	212	1504
124	213	1494
125	214	1485
126	214	1475
127	215	1465
128	215	1456
129	216	1447
130	216	1438
131	217	1430
132	218	1421
133	218	1414
134	219	1407
135	220	1399
136	220	1391
137	221	1382
138	221	1375
139	222	1367
140	223	1359
141	223	1350
142	224	1343
143	225	1341
144	226	1335
145	227	1328
146	227	1321
147	228	1313
148	228	1306
149	229	1299
150	230	1293
151	230	1286
152	231	1279
153	231	1273
154	232	1266
155	232	1260
156	233	1253
157	234	1247
158	234	1241
159	235	1235
160	235	1227
161	236	1222
162	236	1215
163	237	1210
164	237	1204
165	238	1198
166	239	1193
167	240	1192
168	241	1187
169	242	1181
170	242	1176
171	243	1170
172	243	1165
173	244	1159
174	244	1154
175	245	1149
176	246	1144
177	246	1139
178	247	1133
179	247	1128
180	248	1123
181	248	1118
182	249	1113
183	250	1109
184	250	1104
185	251	1099
186	251	1095
187	252	1090
188	253	1086
189	253	1081
190	254	1076
191	255	1077
192	256	1072
193	257	1068
194	257	1064
195	258	1059
196	258	1055
197	259	1051
